nameFirst,nameLast,tname
Joe,Tinker,Chicago Chi-Feds
Cap,Anson,Chicago Colts
Johnny,Evers,Chicago Cubs
Bill,Killefer,Chicago Cubs
Gabby,Hartnett,Chicago Cubs
Rabbit,Maranville,Chicago Cubs
Frank,Chance,Chicago Cubs
Rogers,Hornsby,Chicago Cubs
Roger,Bresnahan,Chicago Cubs
Joe,Tinker,Chicago Cubs
Charlie,Grimm,Chicago Cubs
El,Tappe,Chicago Cubs
Phil,Cavarretta,Chicago Cubs
Charlie,Comiskey,Chicago Pirates
Joe,Tinker,Chicago Whales
Clark,Griffith,Chicago White Sox
Jimmy,Callahan,Chicago White Sox
Fielder,Jones,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Billy,Sullivan,Chicago White Sox
Eddie,Collins,Chicago White Sox
Ray,Schalk,Chicago White Sox
Ted,Lyons,Chicago White Sox
Lena,Blackburne,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Don,Kessinger,Chicago White Sox
Al,Spalding,Chicago White Stockings
Bob,Ferguson,Chicago White Stockings
Fergy,Malone,Chicago White Stockings
Jimmy,Wood,Chicago White Stockings
Cap,Anson,Chicago White Stockings
Silver,Flint,Chicago White Stockings
Joe,Battin,Chicago/Pittsburgh (Union League)
Joe,Ellick,Chicago/Pittsburgh (Union League)
King,Kelly,Cincinnati Kelly's Killers
Dan,O'Leary,Cincinnati Outlaw Reds
Sam,Crane,Cincinnati Outlaw Reds
Will,White,Cincinnati Red Stockings
Pop,Snyder,Cincinnati Red Stockings
Deacon,White,Cincinnati Reds
John,Clapp,Cincinnati Reds
Charlie,Gould,Cincinnati Reds
Lip,Pike,Cincinnati Reds
Bob,Addy,Cincinnati Reds
Jack,Manning,Cincinnati Reds
Cal,McVey,Cincinnati Reds
Buck,Ewing,Cincinnati Reds
Joe,Kelley,Cincinnati Reds
Charlie,Comiskey,Cincinnati Reds
Bob,Allen,Cincinnati Reds
Heinie,Groh,Cincinnati Reds
Joe,Tinker,Cincinnati Reds
John,Ganzel,Cincinnati Reds
Bob,O'Farrell,Cincinnati Reds
Clark,Griffith,Cincinnati Reds
Buck,Herzog,Cincinnati Reds
Ivey,Wingo,Cincinnati Reds
Christy,Mathewson,Cincinnati Reds
Pete,Rose,Cincinnati Reds
Bucky,Walters,Cincinnati Reds
Mike,McGeary,Cleveland Blues
John,Clapp,Cleveland Blues
Fred,Dunlap,Cleveland Blues
Jim,McCormick,Cleveland Blues
Jimmy,McAleer,Cleveland Blues
Scott,Hastings,Cleveland Forest Citys
Deacon,White,Cleveland Forest Citys
Charlie,Pabor,Cleveland Forest Citys
Tris,Speaker,Cleveland Indians
Lou,Boudreau,Cleveland Indians
Frank,Robinson,Cleveland Indians
Henry,Larkin,Cleveland Infants
Patsy,Tebeau,Cleveland Infants
Nap,Lajoie,Cleveland Naps
Bill,Bradley,Cleveland Naps
Deacon,McGuire,Cleveland Naps
George,Stovall,Cleveland Naps
Harry,Davis,Cleveland Naps
Joe,Birmingham,Cleveland Naps
Patsy,Tebeau,Cleveland Spiders
Lave,Cross,Cleveland Spiders
Joe,Quinn,Cleveland Spiders
Bobby,Lowe,Detroit Tigers
Hughie,Jennings,Detroit Tigers
Ty,Cobb,Detroit Tigers
Mickey,Cochrane,Detroit Tigers
Bucky,Harris,Detroit Tigers
Fred,Hutchinson,Detroit Tigers
Charlie,Morton,Detroit Wolverines
Bill,Lennon,Fort Wayne Kekiongas
Harry,Deane,Fort Wayne Kekiongas
Lip,Pike,Hartford Dark Blues
Bob,Ferguson,Hartford Dark Blues
John,Clapp,Indianapolis Blues
Bill,Watkins,Indianapolis Hoosiers
Jack,Glasscock,Indianapolis Hoosiers
Hank,Bauer,Kansas City Athletics
Harry,Wheeler,Kansas City Cowboys
Matthew,Porter,Kansas City Cowboys
Dave,Rowe,Kansas City Cowboys
Sam,Barkley,Kansas City Cowboys
Ted,Sullivan,Kansas City Cowboys
George,Stovall,Kansas City Packers
Joe,Simmons,Keokuk Westerns
John,Kerins,Louisville Colonels
Dude,Esterbrook,Louisville Colonels
Chicken,Wolf,Louisville Colonels
Dan,Shannon,Louisville Colonels
Jim,Rogers,Louisville Colonels
Fred,Clarke,Louisville Colonels
Fred,Pfeffer,Louisville Colonels
Denny,Mack,Louisville Eclipse
Joe,Gerhardt,Louisville Eclipse
Jack,Chapman,Louisville Grays
John,Clapp,Middletown Mansfields
Hugh,Duffy,Milwaukee Brewers
Charlie,Gould,New Haven Elm Citys
Jumbo,Latham,New Haven Elm Citys
Charlie,Pabor,New Haven Elm Citys
Buck,Ewing,New York Giants
George,Davis,New York Giants
Jack,Doyle,New York Giants
Bill,Joyce,New York Giants
Heinie,Smith,New York Giants
John,McGraw,New York Giants
John,Ward,New York Giants
Bill,Terry,New York Giants
Mel,Ott,New York Giants
Rogers,Hornsby,New York Giants
John,Clapp,New York Gothams
John,Ward,New York Gothams
Clark,Griffith,New York Highlanders
Kid,Elberfeld,New York Highlanders
Hal,Chase,New York Highlanders
Harry,Wolverton,New York Highlanders
Dave,Orr,New York Metropolitans
Joe,Torre,New York Mets
Nat,Hicks,New York Mutuals
Dickey,Pearce,New York Mutuals
John,Hatfield,New York Mutuals
Joe,Start,New York Mutuals
Tom,Carey,New York Mutuals
Dick,Higham,New York Mutuals
Bob,Ferguson,New York Mutuals
Frank,Chance,New York Yankees
Roger,Peckinpaugh,New York Yankees
Bill,Donovan,New York Yankees
Bill,Dickey,New York Yankees
Bill,McKechnie,Newark Pepper
Cap,Anson,Philadelphia Athletics
Jumbo,Latham,Philadelphia Athletics
Dick,McBride,Philadelphia Athletics
Lon,Knight,Philadelphia Athletics
Jim,Fogarty,Philadelphia Athletics
Charlie,Buffinton,Philadelphia Athletics
George,Wood,Philadelphia Athletics
Harry,Stovey,Philadelphia Athletics
Eddie,Joost,Philadelphia Athletics
Bill,Craver,Philadelphia Centennials
Fergy,Malone,Philadelphia Keystones
Billy,Nash,Philadelphia Phillies
Chief,Zimmer,Philadelphia Phillies
George,Stallings,Philadelphia Phillies
Hugh,Duffy,Philadelphia Phillies
Jack,Clements,Philadelphia Phillies
Bob,Allen,Philadelphia Phillies
Arthur,Irwin,Philadelphia Phillies
Gavvy,Cravath,Philadelphia Phillies
Kaiser,Wilhelm,Philadelphia Phillies
Jimmie,Wilson,Philadelphia Phillies
Ben,Chapman,Philadelphia Phillies
Red,Dooin,Philadelphia Phillies
Stuffy,McInnis,Philadelphia Phillies
Bob,Ferguson,Philadelphia Quakers
Blondie,Purcell,Philadelphia Quakers
Mike,McGeary,Philadelphia Whites
Bob,Addy,Philadelphia Whites
Fergy,Malone,Philadelphia Whites
Jimmy,Wood,Philadelphia Whites
Bill,Craver,Philadelphia Whites
Bob,Ferguson,Pittsburg Alleghenys
George,Creamer,Pittsburg Alleghenys
Joe,Battin,Pittsburg Alleghenys
Fred,Dunlap,Pittsburg Alleghenys
Ned,Hanlon,Pittsburg Alleghenys
Guy,Hecker,Pittsburg Alleghenys
Ned,Hanlon,Pittsburgh Burghers
Connie,Mack,Pittsburgh Pirates
Ned,Hanlon,Pittsburgh Pirates
Patsy,Donovan,Pittsburgh Pirates
Tom,Burns,Pittsburgh Pirates
Fred,Clarke,Pittsburgh Pirates
Honus,Wagner,Pittsburgh Pirates
Pie,Traynor,Pittsburgh Pirates
Billy,Herman,Pittsburgh Pirates
Rebel,Oakes,Pittsburgh Rebels
George,Wright,Providence Grays
Mike,McGeary,Providence Grays
John,Ward,Providence Grays
Mike,Dorgan,Providence Grays
Jack,Farrell,Providence Grays
Tom,York,Providence Grays
Scott,Hastings,Rockford Forest Citys
Dickey,Pearce,St. Louis Brown Stockings
Ned,Cuthbert,St. Louis Brown Stockings
Charlie,Comiskey,St. Louis Browns
Joe,Quinn,St. Louis Browns
Jimmy,McAleer,St. Louis Browns
Arlie,Latham,St. Louis Browns
Roger,Connor,St. Louis Browns
Tommy,Dowd,St. Louis Browns
Tommy,McCarthy,St. Louis Browns
John,Kerins,St. Louis Browns
Chief,Roseman,St. Louis Browns
Bill,Hallman,St. Louis Browns
Count,Campau,St. Louis Browns
Joe,Gerhardt,St. Louis Browns
Jack,Glasscock,St. Louis Browns
Cub,Stricker,St. Louis Browns
Jack,Crooks,St. Louis Browns
George,Gore,St. Louis Browns
Bob,Caruthers,St. Louis Browns
Rogers,Hornsby,St. Louis Browns
Jimmy,Austin,St. Louis Browns
Branch,Rickey,St. Louis Browns
Jim,Bottomley,St. Louis Browns
George,Sisler,St. Louis Browns
Luke,Sewell,St. Louis Browns
Jack,O'Connor,St. Louis Browns
Bobby,Wallace,St. Louis Browns
George,Stovall,St. Louis Browns
Marty,Marion,St. Louis Browns
Patsy,Donovan,St. Louis Cardinals
Kid,Nichols,St. Louis Cardinals
Patsy,Tebeau,St. Louis Cardinals
Frankie,Frisch,St. Louis Cardinals
Miller,Huggins,St. Louis Cardinals
Roger,Bresnahan,St. Louis Cardinals
Rogers,Hornsby,St. Louis Cardinals
Bob,O'Farrell,St. Louis Cardinals
Billy,Southworth,St. Louis Cardinals
Jimmy,Burke,St. Louis Cardinals
Gabby,Street,St. Louis Cardinals
Solly,Hemus,St. Louis Cardinals
Eddie,Stanky,St. Louis Cardinals
Harry,Walker,St. Louis Cardinals
Fred,Dunlap,St. Louis Maroons
Alex,McKinnon,St. Louis Maroons
Patsy,Tebeau,St. Louis Perfectos
Charlie,Sweasy,St. Louis Red Stockings
Mordecai,Brown,St. Louis Terriers
Fielder,Jones,St. Louis Terriers
Mike,Dorgan,Syracuse Stars
Bill,Holbert,Syracuse Stars
Jimmy,Macullar,Syracuse Stars
Charlie,Morton,Toledo Blue Stockings
Lip,Pike,Troy Haymakers
Bill,Craver,Troy Haymakers
Jimmy,Wood,Troy Haymakers
Bob,Ferguson,Troy Trojans
Holly,Hollingshead,Washington Nationals
Bill,Parks,Washington Nationals
Joe,Miller,Washington Nationals
John,Morrill,Washington Nationals
Arthur,Irwin,Washington Nationals
Malachi,Kittridge,Washington Senators
Patsy,Donovan,Washington Senators
Tom,Brown,Washington Senators
Jack,Doyle,Washington Senators
Deacon,McGuire,Washington Senators
Jake,Stahl,Washington Senators
Danny,Richardson,Washington Senators
Jim,O'Rourke,Washington Senators
Joe,Cronin,Washington Senators
Clyde,Milan,Washington Senators
Donie,Bush,Washington Senators
Bucky,Harris,Washington Senators
Clark,Griffith,Washington Senators
Pop,Snyder,Washington Statesmen
Dan,Shannon,Washington Statesmen
Sandy,Griffin,Washington Statesmen
Mike,Dorgan,Worcester Ruby Legs
Harry,Stovey,Worcester Ruby Legs
Tommy,Bond,Worcester Ruby Legs
